class_one,class_two,class_three,Job_name,job_company,low_salary,job_release_time,0,job_edu,job_area,job_welfare,second_time,,
技术,后端开发,数据挖掘,数据挖掘工程师,有书,10,2017/11/8 10:07,1, 本科,北京,"“六险一金,14薪,餐补等”",1510106820,,
技术,后端开发,数据挖掘,数据挖掘/算法专家-P7-安全智能-蚂蚁金服,蚂蚁金服集团,25,2017/11/7 0:00,3, 本科,北京,"“顶尖的团队,精英云集,成长空间大,前沿的技术”",1509984000,,
技术,后端开发,数据挖掘,高德-数据挖掘与分析高级工程师,阿里巴巴—高德,15,2017/11/7 0:00,3, 本科,北京,“发展前景”,1509984000,,
技术,后端开发,数据挖掘,数据挖掘高级工程师,极光,20,2017/11/7 0:00,3, 本科,深圳,“D轮路上、14薪+、下午茶、工作餐等”,1509984000,,
技术,后端开发,数据挖掘,数据挖掘工程师,探探,15,2017/11/6 0:00,1, 本科,北京,“2017最黑马的社交应用、最值钱的股权激励”,1509897600,,
技术,后端开发,数据挖掘,数据挖掘工程师,美利金融,13,2017/11/3 0:00,3, 不限,上海,"“带薪年假,大牛团队”",1509638400,,
技术,后端开发,数据挖掘,数据挖掘工程师,联想集团,15,2017/11/1 0:00,3, 本科,上海,“上市公司 世界500强 福利全面”,1509465600,,
技术,后端开发,数据挖掘,数据挖掘工程师,啦咔网络,18,2017/11/8 10:33,1, 本科,广州,"“人工智能,微信机器人”",1510108380,,
技术,后端开发,数据挖掘,资深数据挖掘工程师,新氧盒子,25,2017/11/8 2:52,3, 本科,北京,"“geek,核心研发,16薪,海外旅游”",1510080720,,
技术,后端开发,数据挖掘,数据挖掘工程师,掌门集团,25,2017/11/2 0:00,3, 本科,上海,"“24薪,父母工资,父母体检,年休12+”",1509552000,,
技术,后端开发,数据挖掘,数据挖掘,彩讯科技,10,2017/11/7 0:00,1, 本科,广州,“美女特别多”,1509984000,,
技术,后端开发,数据挖掘,数据挖掘工程师,览众数据,20,2017/11/6 0:00,3, 硕士,杭州,"“前沿行业,大数据公司,领导好,年轻团队”",1509897600,,
技术,后端开发,数据挖掘,数据挖掘与建模专员,北京捷越联合,15,2017/11/6 0:00,1, 本科,北京,“六险一金 绩效奖金 周末双休 节日福利”,1509897600,,
技术,后端开发,数据挖掘,资深数据挖掘工程师,美团点评,30,2017/11/8 0:00,3, 本科,北京,“期权股票，15.5薪，6险一金，班车”,1510070400,,
技术,后端开发,数据挖掘,数据挖掘工程师,奇虎360金融,18,2017/10/9 0:00,3, 本科,北京,“专供科技金融，未来发展好”,1507478400,,
技术,后端开发,数据挖掘,NLP/数据挖掘工程师,新华网,13,2017/11/8 16:10,3, 硕士,北京,“上市国企 一流互联网媒体”,1510128600,,
技术,后端开发,数据挖掘,蚂蚁金服-数据挖掘/算法专家-安全基础平台,蚂蚁金服集团,25,2017/11/7 0:00,3, 本科,杭州,"“顶尖的技术,技术氛围好,成长晋升快,专场极速面”",1509984000,,
技术,后端开发,数据挖掘,数据挖掘工程师,美利金融,13,2017/11/3 0:00,3, 不限,上海,"“带薪年假,大牛团队”",1509638400,,
技术,后端开发,数据挖掘,资深数据挖掘专家,美团点评,30,2017/11/8 0:00,5, 本科,上海,"“大平台,福利好,团队氛围佳”",1510070400,,
技术,后端开发,数据挖掘,高级数据挖掘工程师(J10554),沪江,20,2017/11/8 12:01,3, 本科,上海,“五险一金;期权激励;绩效奖金;弹性工作”,1510113660,,
技术,后端开发,数据挖掘,数据挖掘工程师,国誉信睿,10,2017/11/8 11:59,3, 本科,杭州,"“五险一金,周末双休,扁平管理,机会大”",1510113540,,
技术,后端开发,数据挖掘,数据挖掘工程师,联璧,10,2017/11/7 0:00,1, 本科,上海,"“福利好,餐补,加班补助,绩效奖金”",1509984000,,
技术,后端开发,数据挖掘,数据挖掘工程师,今日头条,20,2017/10/29 0:00,3, 本科,北京,“六险一金，高薪期权，弹性工作，免费三餐，租房补贴，扁平管理，过亿用户，职业大牛，晋升空间，团队氛围好”,1509206400,,
技术,后端开发,数据挖掘,数据挖掘工程师,果树金服,18,2017/10/24 0:00,1, 硕士,杭州,"“五险一金,钱多,有单身妹子,股票期权”",1508774400,,
技术,后端开发,数据挖掘,数据挖掘工程师,Gridsum 国双,20,2017/11/8 0:00,3, 本科,北京,“六险一金、弹性工作、奖金丰厚、技术牛人多”,1510070400,,
技术,后端开发,数据挖掘,数据挖掘研究员,北京三星通信研究院,15,2017/10/26 0:00,3, 本科,北京,"“500强,福利优厚,技术氛围,弹性工作”",1508947200,,
技术,后端开发,数据挖掘,数据挖掘开发工程师,金山办公软件,15,2017/11/8 11:45,0, 不限,北京,"“年终奖,免费食堂,健身房,自由环境”",1510112700,,
技术,后端开发,数据挖掘,数据挖掘工程师,罗辑思维,25,2017/11/8 10:51,0, 本科,北京,"“弹性工作,节操币奉上,私人医生,团队好”",1510109460,,
技术,后端开发,数据挖掘,数据挖掘/算法高级研发工程师,滴滴出行,20,2017/11/6 0:00,1, 本科,北京,"“带薪休假,年底双薪,绩效奖金,期权奖励”",1509897600,,
技术,后端开发,数据挖掘,数据挖掘工程师,百分点,15,2017/10/31 0:00,1, 本科,上海,"“BI,数据挖掘”",1509379200,,
技术,后端开发,数据挖掘,数据挖掘工程师,一帧,18,2017/10/24 0:00,1, 本科,北京,"“扁平管理,极客团队,股票期权”",1508774400,,
技术,后端开发,数据挖掘,数据挖掘/算法专家-P7-菜鸟-北京/杭州,蚂蚁金服集团,25,2017/11/7 0:00,3, 本科,北京,"“核心的团队,顶尖的技术,行业前景好,丰厚的期权”",1509984000,,
技术,后端开发,数据挖掘,资深数据挖掘工程师/专家,美团点评,30,2017/11/8 14:37,5, 本科,北京,"“高速发展期,核心业务,牛人聚集,氛围好”",1510123020,,
技术,后端开发,数据挖掘,资深数据挖掘工程师,铭师堂,15,2017/11/7 0:00,3, 本科,杭州,"“公司前景好,优秀团队”",1509984000,,
技术,后端开发,数据挖掘,数据挖掘工程师-POI方向,滴滴出行,20,2017/11/6 0:00,1, 本科,北京,"“五险一金,互联网大厂”",1509897600,,
技术,后端开发,数据挖掘,数据平台部-数据挖掘工程师,UCloud,8,2017/11/8 20:26,1, 本科,上海,“云行业; 团队氛围好”,1510143960,,
技术,后端开发,数据挖掘,数据挖掘实习生,大特保,4,2017/11/8 10:30,0, 硕士,北京,"“发展前景好,有转正机会,薪资福利优,晋升空间大”",1510108200,,
